transaction_id,customer_id,account_type,branch_code,transaction_type,transaction_amount,transaction_date,channel,balance_after_transaction,merchant_category_code,geo_location
T100062,C12808,Business,BR-007,Online Payment,66657,2024-06-05 05:45:22,Internet,110162,2383,"28.79648, 81.388457"
T100063,C10170,Current,BR-009,Online Payment,77289,2023-07-27 01:36:34,Qr,384071,7216,"29.309788, 87.789006"
T100064,C11421,Savings,BR-003,Deposit,79053,2023-06-24 15:47:30,Atm,271170,1480,"27.084593, 81.80801"
T100065,C11795,Savings,BR-014,Deposit,53095,2025-03-11 14:35:57,Mobile Banking,328069,5465,"26.950981, 84.253141"
T100066,C10739,Savings,BR-016,Deposit,40857,2024-01-31 12:10:01,Counter,69842,4740,"29.475772, 85.069106"
T100067,C12233,Savings,BR-019,Deposit,9792,2024-07-15 11:02:57,Atm,296809,1911,"28.515719, 80.638031"
T100068,C12850,Current,BR-003,Transfer,45858,2025-03-10 22:41:42,Atm,272421,5683,"27.364391, 85.173592"
T100069,C11820,Savings,BR-004,Online Payment,72509,2024-12-29 00:32:50,Counter,174311,2023,"29.82394, 84.027633"
T100070,C11590,Current,BR-018,Online Payment,71311,2023-06-26 01:33:09,Atm,441880,3245,"29.087504, 87.462007"
T100071,C11960,Savings,BR-006,Withdrawal,65797,2024-09-28 12:25:30,Qr,311152,8761,"29.764335, 80.313595"
T100072,C11084,Savings,BR-012,Transfer,37165,2024-05-18 17:01:13,Atm,277827,6801,"27.472523, 86.371111"
T100073,C11626,Savings,BR-013,Withdrawal,92193,2024-05-22 06:43:38,Internet,132742,9704,"29.673413, 81.759055"
T100074,C11031,Savings,BR-014,Online Payment,99399,2024-09-17 22:59:09,Qr,221283,3589,"29.707877, 87.114421"
T100075,C10319,Savings,BR-016,Withdrawal,32706,2025-02-27 21:56:14,Counter,149961,5316,"27.98107, 86.026109"
T100076,C10224,Business,BR-003,Transfer,11634,2023-09-16 07:58:04,Qr,449828,7556,"26.005657, 82.781848"
T100077,C10247,Current,BR-006,Deposit,94763 USD,2024-01-21 11:38:15,Internet,176607,6840,"27.905908, 87.591478"
T100078,C12059,Savings,BR-014,Online Payment,40497,2023-10-14 22:38:17,Mobile Banking,341686,1024,"29.099867, 81.604428"
T100079,C12492,Savings,BR-006,Withdrawal,91487,2024-07-31 01:47:22,Atm,317463,9786,"26.79506, 84.797818"
T100080,C12082,Savings,BR-010,Online Payment,1116,2024-10-20 07:57:00,Atm,246144,8757,"26.077891, 84.199582"
T100081,C10533,Savings,BR-015,Deposit,89889,2025-01-11 01:08:08,Qr,355211,1710,"27.243867, 86.556891"
T100082,C12008,Current,BR-019,Transfer,55691,2024-06-07 15:40:22,Mobile Banking,153711,8905,"26.420378, 82.551384"
T100083,C12621,Savings,BR-004,Transfer,89912,2025-03-12 12:10:57,Mobile Banking,196784,6580,"28.800762, 81.520205"
T100084,C10615,Current,BR-018,Online Payment,23347,2025-02-11 02:06:29,Atm,410849,4193,"29.726733, 86.092081"
T100085,C10506,Current,BR-016,Deposit,24400,2024-06-09 19:29:40,Qr,253217,5997,"28.64454, 81.022272"
T100086,C10929,Business,BR-010,Deposit,74165,2024-11-12 05:35:44,Mobile Banking,428876,3961,"28.129991, 87.985548"
T100087,C10057,Savings,BR-018,Transfer,82898,2023-06-10 16:39:58,Internet,332119,1160,"26.975367, 84.975067"
T100088,C11966,Business,BR-018,Transfer,9368,2025-01-01 05:48:31,Mobile Banking,164244,1231,"27.900195, 81.574164"
T100089,C10158,Savings,BR-018,Deposit,86907,2024-09-11 19:04:25,Mobile Banking,453413,2981,"29.051694, 81.857068"
T100090,C11478,Savings,BR-017,Deposit,12285,2023-08-14 13:05:29,Mobile Banking,102158,6181,"26.866917, 82.936946"
T100091,C12742,Current,BR-004,Transfer,63804,2023-07-24 13:51:50,Counter,453063,8896,"29.347477, 81.744579"
T100092,C11980,Business,BR-009,Transfer,86879,2025-03-17 18:23:35,Counter,274721,9193,"26.108253, 82.046615"
T100093,C11179,Savings,BR-017,Deposit,39199,2024-04-17 16:04:18,Atm,340443,5998,"27.57036, 80.89707"
T100094,C10113,Current,BR-006,Transfer,8671,2025-04-20 21:32:46,Atm,283320,5682,"28.528871, 80.594383"
T100095,C10220,Business,BR-009,Transfer,38144,2024-02-13 19:09:17,Atm,438602,1238,"26.653562, 85.024867"
T100096,C12090,Business,BR-011,Deposit,51314,2023-11-09 02:16:28,Counter,64972,5002,"26.478909, 82.003378"
T100097,C10390,Savings,BR-001,Transfer,61328,2025-03-11 04:39:56,Counter,383162,7033,"26.798503, 82.099854"
T100098,C10733,Business,BR-013,Deposit,49084,2024-03-11 15:42:14,Atm,484007,2382,"29.93593, 87.204946"
T100099,C11185,Current,BR-012,Deposit,40874,2025-01-24 11:13:33,Atm,435219,9156,"29.945271, 80.905385"
T100100,C10685,Business,BR-012,Deposit,2668,2024-03-13 05:42:24,Atm,283140,6133,"27.941782, 87.594116"
T100101,C11899,Business,BR-015,Deposit,62692,2025-01-30 07:15:53,Internet,101922,3684,"26.913462, 87.441632"
T100102,C10056,Current,BR-009,Withdrawal,67663,2023-12-22 07:04:44,Qr,349742,5144,"29.324511, 82.180626"
T100103,C12653,Savings,BR-019,Withdrawal,2795,2024-10-18 02:47:54,Internet,36931,4771,"28.889271, 84.021834"
T100104,C10092,Current,BR-010,Deposit,48290,2025-05-15 20:33:54,Counter,125168,6934,"26.597338, 87.719135"
T100105,C11265,Current,BR-006,Withdrawal,5358,2024-12-14 00:06:57,Qr,167782,7143,"27.969022, 80.186605"
T100106,C12726,Savings,BR-001,Transfer,87638,2024-04-07 17:59:13,Internet,124099,2612,"26.877801, 85.000528"
T100107,C11371,Business,BR-016,Deposit,39604,2023-06-25 08:31:08,Atm,35693,2915,"29.797522, 86.118435"
T100108,C12384,Savings,BR-013,Withdrawal,33259,2024-12-18 17:18:09,Counter,429956,4707,"29.993455, 84.197304"
T100109,C12763,Business,BR-007,Withdrawal,14086,2024-05-07 20:01:39,Counter,471457,9910,"29.426368, 84.403513"
T100110,C10465,Business,BR-010,Transfer,61958,2025-05-26 02:21:41,Atm,109944,7085,"29.096949, 81.108912"
T100111,C12694,Current,BR-018,Withdrawal,12766 USD,2024-11-19 11:42:56,Atm,225655,9773,"28.347299, 81.379417"
T100112,C11969,Savings,BR-009,Online Payment,38760,2024-04-24 21:35:05,Qr,208574,3171,"26.043565, 83.299001"
T100113,C12812,Business,BR-018,Online Payment,3661,2025-04-28 20:48:41,Counter,280518,9188,"26.19081, 86.277705"
T100114,C10004,Business,BR-010,Withdrawal,26954,2024-10-16 18:53:35,Atm,470890,7358,"28.243474, 80.431305"
T100115,C11472,Savings,BR-017,Withdrawal,64605,2024-02-03 00:46:15,Atm,248572,7186,"27.764439, 83.027175"
T100116,C10739,Current,BR-013,Online Payment,52351,2024-04-23 14:13:45,Internet,344615,2648,"28.6149, 83.976129"
T100117,C11604,Business,BR-004,Withdrawal,22762,2024-11-30 16:45:20,Counter,46913,1054,"26.546588, 86.026449"
T100118,C12933,Business,BR-013,Withdrawal,8492,2024-06-12 13:10:06,Qr,386827,4718,"28.014, 82.580164"
T100119,C10343,Current,BR-004,Withdrawal,30635,2024-09-13 21:34:05,Internet,198097,1472,"29.307733, 84.30235"
T100120,C10425,Savings,BR-001,Online Payment,78703 USD,2024-07-12 14:01:18,Atm,307660,6723,"27.482459, 84.819004"
T100121,C11354,Current,BR-020,Withdrawal,52356,2023-10-02 21:26:51,Internet,88796,9476,"27.130176, 87.570583"
T100122,C11184,Business,BR-017,Online Payment,89235,2025-05-15 06:26:30,Internet,289213,6805,"29.934066, 83.09159"
T100123,C10758,Business,BR-006,Withdrawal,35322,2023-12-02 11:14:08,Qr,381477,1635,"27.92997, 84.311548"
T100124,C10759,Savings,BR-016,Deposit,77473,2023-11-03 14:07:42,Atm,450449,1239,"26.557676, 84.200472"
T100125,C12777,Current,BR-017,Deposit,79675,2024-03-18 11:43:22,Qr,85811,2690,"27.049915, 87.368118"
T100126,C10444,Current,BR-003,Deposit,96454,2024-12-12 13:58:57,Counter,191121,3981,"27.668325, 84.243593"
T100127,C10002,Savings,BR-015,Withdrawal,84751,2023-07-12 17:30:30,Mobile Banking,233892,7249,"29.082778, 86.419833"
T100128,C12824,Current,BR-004,Withdrawal,63435,2024-01-03 23:08:25,Mobile Banking,381172,5878,"27.183778, 80.190202"
T100129,C11729,Current,BR-007,Online Payment,11065,2023-09-09 11:42:36,Counter,40178,6957,"28.176573, 84.547493"
T100130,C12784,Savings,BR-013,Online Payment,24638,2024-07-18 14:45:59,Mobile Banking,295965,4494,"29.849467, 87.295374"
T100131,C10335,Business,BR-004,Deposit,70692,2024-05-09 08:38:29,Mobile Banking,445943,3439,"28.634198, 81.660569"
T100132,C10829,Savings,BR-014,Withdrawal,98118,2025-01-16 23:12:26,Qr,455151,1689,"26.959915, 85.505516"
T100133,C11246,Savings,BR-011,Online Payment,8210,2024-04-09 06:56:47,Mobile Banking,17999,5266,"27.602949, 85.220835"
T100134,C12233,Business,BR-011,Deposit,79409,2024-03-27 00:19:03,Counter,456738,3975,"29.263678, 85.380818"
T100135,C12614,Savings,BR-015,Deposit,27366,2025-01-20 22:18:12,Internet,301856,2697,"29.868658, 85.32961"
T100136,C11387,Business,BR-008,Transfer,53092,2025-02-27 10:12:10,Internet,196623,6587,"26.582099, 83.454666"
T100137,C10271,Business,BR-017,Withdrawal,83048,2024-08-05 17:58:17,Qr,172244,8723,"27.173383, 86.085536"
T100138,C10074,Business,BR-006,Deposit,98906,2024-11-04 12:50:29,Qr,296866,4358,"27.556404, 84.127735"
T100139,C11137,Business,BR-015,Deposit,7010,2024-03-28 23:56:58,Counter,273769,5404,"28.341915, 86.47869"
T100140,C10137,Current,BR-004,Deposit,91082,2025-03-21 22:51:01,Atm,199237,1599,"26.120812, 80.188179"
T100141,C11038,Business,BR-009,Withdrawal,306,2024-03-20 05:55:24,Internet,470725,1741,"29.907832, 81.338622"
T100142,C12988,Savings,BR-006,Deposit,87154,2024-09-02 23:23:15,Internet,7859,6974,"29.248016, 80.86543"
T100143,C12256,Business,BR-001,Online Payment,87997,2024-02-29 09:50:16,Counter,435825,7580,"28.881183, 87.029"
T100144,C12487,Current,BR-018,Transfer,23519,2024-12-06 22:13:27,Counter,437523,6620,"28.586798, 80.349102"
T100145,C10375,Savings,BR-016,Deposit,50736 USD,2025-04-20 14:17:20,Qr,111986,1675,"26.99185, 82.578969"
T100146,C11720,Current,BR-015,Transfer,50115,2023-12-12 22:40:55,Atm,233654,6694,"29.862001, 80.931075"
T100147,C10850,Current,BR-019,Transfer,54368,2023-12-21 17:28:28,Atm,284983,2920,"29.904056, 81.965197"
T100148,C12194,Current,BR-016,Online Payment,88039,2024-09-26 04:14:10,Counter,290360,8584,"29.138326, 84.122183"
T100149,C12100,Current,BR-018,Online Payment,18241,2024-12-29 04:43:22,Qr,316097,5333,"29.259167, 87.580561"
T100150,C12215,Current,BR-015,Withdrawal,80456,2024-08-12 07:37:33,Mobile Banking,478697,3551,"29.158157, 80.918216"
T100151,C11528,Savings,BR-002,Transfer,72010,2024-11-01 22:15:56,Atm,454809,9954,"29.512049, 83.284038"
T100152,C12999,Current,BR-007,Transfer,56144,2023-06-27 19:04:00,Qr,466291,8820,"28.174941, 87.951105"
T100153,C11111,Business,BR-017,Transfer,67314,2023-07-25 22:19:50,Atm,50522,7844,"28.633104, 82.134922"
T100154,C12875,Savings,BR-012,Withdrawal,33927,2024-02-26 07:59:07,Atm,231233,2090,"29.169631, 82.624793"
T100155,C10833,Business,BR-017,Deposit,55920,2025-02-10 02:20:26,Counter,399102,1912,"27.765866, 84.318596"
T100156,C11785,Current,BR-013,Deposit,62723,2024-08-01 05:26:59,Internet,374393,6290,"27.101294, 87.34696"
T100157,C11896,Savings,BR-002,Transfer,81834,2023-11-03 06:12:33,Qr,8485,4424,"28.355151, 86.661595"
T100158,C12738,Savings,BR-009,Withdrawal,75550,2024-10-04 00:05:34,Counter,425671,2659,"28.005209, 82.75662"
T100159,C10546,Business,BR-017,Online Payment,93526,2025-01-26 01:02:09,Qr,244056,8841,"26.852989, 85.255056"
T100160,C12209,Business,BR-005,Withdrawal,22399,2024-02-18 16:49:46,Internet,410983,3176,"27.870887, 82.720821"
T100161,C11414,Savings,BR-010,Transfer,43685,2023-12-10 19:07:48,Mobile Banking,113701,2009,"29.084007, 82.888675"
T100162,C12764,Current,BR-001,Transfer,64144,2024-08-30 11:07:48,Qr,422669,1351,"28.019153, 84.499221"
T100163,C11429,Current,BR-007,Withdrawal,42657,2023-08-26 07:22:46,Qr,208352,2620,"27.991745, 81.533638"
T100164,C10108,Business,BR-014,Deposit,49180,2024-12-22 16:39:23,Counter,103638,6231,"26.130771, 84.414351"
T100165,C10095,Savings,BR-018,Online Payment,2793,2025-01-27 18:05:40,Internet,185514,8527,"29.685133, 80.347484"
T100166,C11888,Current,BR-001,Deposit,95103,2024-01-01 03:02:38,Internet,446093,5093,"28.509305, 83.442969"
T100167,C12554,Savings,BR-008,Transfer,95359,2025-05-25 08:44:17,Qr,275370,3477,"29.899405, 82.830943"
T100168,C10254,Current,BR-001,Withdrawal,69263,2023-11-24 01:47:42,Atm,94405,8879,"28.733003, 86.022488"
T100169,C11768,Business,BR-009,Deposit,26039,2025-05-24 11:53:09,Atm,285732,5868,"29.665225, 87.794307"
T100170,C12788,Current,BR-005,Withdrawal,49025,2023-08-06 19:35:17,Qr,211048,1622,"26.682334, 85.138132"
T100171,C12205,Current,BR-010,Online Payment,43041,2025-03-26 20:02:56,Counter,163781,7186,"27.58501, 86.05884"
T100172,C12867,Business,BR-002,Deposit,21934,2024-02-23 09:07:12,Mobile Banking,442004,4733,"26.787144, 87.47341"
T100173,C10428,Business,BR-009,Deposit,18147,2024-11-19 00:48:39,Atm,482247,1971,"26.702657, 81.979809"
T100174,C10938,Current,BR-015,Transfer,26205,2023-05-29 02:20:38,Internet,38019,6612,"29.013428, 81.208118"
T100175,C11284,Business,BR-005,Transfer,75866 USD,2023-10-24 12:51:41,Mobile Banking,439164,3353,"28.643055, 82.762577"
T100176,C10254,Current,BR-013,Deposit,15807,2023-06-11 19:18:13,Atm,262497,4293,"26.171728, 87.966512"
T100177,C11706,Current,BR-004,Transfer,22076,2024-04-13 05:12:14,Internet,66133,2480,"29.791706, 86.058399"
T100178,C10273,Business,BR-019,Online Payment,44362,2024-08-16 17:51:56,Mobile Banking,377588,1960,"26.300602, 83.742786"
T100179,C10621,Current,BR-008,Transfer,23876,2023-09-17 02:18:38,Counter,198530,9410,"26.7325, 82.997635"
T100180,C12659,Current,BR-010,Deposit,30180,2023-09-03 03:08:47,Qr,380747,8431,"26.965019, 84.776491"
T100181,C11511,Business,BR-017,Online Payment,66942,2024-10-28 12:49:12,Qr,159598,9065,"29.343363, 85.788522"
T100182,C12753,Current,BR-011,Transfer,61473,2024-11-19 04:32:03,Qr,467709,5161,"29.135753, 87.669005"
T100183,C12722,Current,BR-015,Withdrawal,6876,2025-03-28 02:21:58,Qr,129585,8712,"26.265626, 83.69087"
T100184,C11905,Current,BR-019,Online Payment,92887,2023-10-09 01:40:16,Counter,446414,3563,"28.499536, 86.920645"
T100185,C10840,Current,BR-006,Withdrawal,55116,2023-11-26 17:28:20,Counter,246172,9630,"27.358669, 87.993562"
T100186,C11657,Current,BR-014,Online Payment,9574,2023-06-04 11:39:46,Qr,493750,1315,"27.303911, 87.46943"
T100187,C12624,Current,BR-005,Deposit,58153,2024-08-12 08:13:37,Internet,306539,5136,"28.211444, 82.438758"
T100188,C12559,Savings,BR-012,Deposit,22059,2024-01-25 08:20:54,Counter,418247,2125,"26.712071, 83.121615"
T100189,C10908,Savings,BR-016,Transfer,5630,2025-05-11 17:57:17,Counter,469758,5023,"27.842122, 81.184598"
T100190,C12575,Business,BR-007,Transfer,94956,2023-06-21 09:46:26,Counter,126814,9824,"26.741246, 82.058408"
T100191,C12441,Current,BR-007,Online Payment,3848,2025-05-15 17:52:22,Counter,431917,8955,"26.375532, 83.117308"
T100192,C10224,Current,BR-017,Transfer,97604,2024-09-29 12:52:09,Qr,375743,1751,"28.968398, 80.631947"
T100193,C12771,Current,BR-004,Transfer,98198,2024-12-03 18:05:08,Counter,26939,9642,"26.636676, 82.863651"
T100194,C11813,Savings,BR-008,Transfer,13645,2024-04-15 18:15:33,Mobile Banking,443361,8139,"26.176398, 82.339106"
T100195,C10291,Current,BR-004,Transfer,66299,2024-10-17 06:15:18,Internet,414540,2531,"26.864607, 87.835991"
T100196,C11009,Current,BR-004,Withdrawal,34866,2025-05-26 17:50:55,Counter,154939,8647,"26.29685, 82.471242"
T100197,C12206,Business,BR-005,Transfer,73630,2024-02-09 10:52:42,Qr,263347,5670,"26.078403, 86.449093"
T100198,C11688,Savings,BR-020,Withdrawal,93657,2025-02-08 20:16:34,Internet,410760,8155,"26.712501, 81.517216"
T100199,C12578,Current,BR-018,Withdrawal,61187,2024-01-12 12:52:41,Mobile Banking,410115,6924,"26.8573, 86.498008"
T100200,C10507,Current,BR-019,Deposit,95939,2024-01-18 21:41:47,Qr,292207,6823,"26.644773, 84.925944"
T100201,C11252,Business,BR-016,Online Payment,68940,2023-10-09 18:47:21,Internet,91880,6570,"26.983405, 86.905952"
T100202,C12832,Current,BR-006,Online Payment,54484,2023-12-14 10:11:53,Mobile Banking,4748,3710,"28.799183, 82.526145"
T100203,C10534,Business,BR-001,Online Payment,51105,2024-11-10 20:54:50,Counter,237094,9544,"29.053219, 86.874696"
T100204,C11121,Savings,BR-013,Deposit,46676,2024-03-07 19:28:16,Qr,380413,4825,"29.918018, 85.734118"
T100205,C10269,Business,BR-020,Deposit,39453,2024-05-03 03:24:08,Counter,460845,3519,"27.858944, 80.150481"
T100206,C10048,Business,BR-017,Online Payment,62103,2024-12-04 01:56:44,Atm,343908,4733,"29.028614, 86.961842"
T100207,C11262,Savings,BR-019,Deposit,83311,2024-03-24 07:52:29,Mobile Banking,152956,1741,"28.958069, 81.040487"
T100208,C10136,Savings,BR-006,Deposit,52833,2024-06-13 06:38:33,Atm,157255,9525,"28.6792, 80.222818"
T100209,C10009,Current,BR-005,Deposit,65418,2024-07-02 00:01:54,Atm,475786,3566,"28.835338, 83.575917"
T100210,C10542,Savings,BR-008,Withdrawal,89574,2023-08-07 12:32:41,Mobile Banking,465462,3920,"27.930823, 87.482425"
T100211,C12741,Current,BR-006,Withdrawal,23764,2023-07-05 08:54:58,Qr,371180,9347,"27.104926, 86.054687"
T100212,C11984,Current,BR-011,Online Payment,67272,2023-07-30 23:25:59,Internet,151331,2052,"29.778374, 82.38062"
T100213,C11921,Business,BR-019,Transfer,85716,2023-10-24 20:08:21,Qr,168031,9057,"29.605048, 84.569504"
T100214,C11014,Current,BR-017,Withdrawal,93364,2024-03-03 18:24:56,Counter,379669,8350,"29.149036, 81.355026"
T100215,C10436,Savings,BR-005,Online Payment,26836,2024-01-23 19:32:06,Mobile Banking,427673,1009,"27.443865, 86.841942"
T100216,C11292,Business,BR-012,Transfer,94309,2025-03-05 12:05:43,Mobile Banking,348823,7634,"27.641695, 82.017212"
T100217,C12425,Savings,BR-001,Deposit,954,2025-03-18 01:35:08,Qr,126829,1195,"26.759396, 87.867598"
T100218,C11419,Current,BR-004,Deposit,90184,2025-03-20 06:33:46,Qr,129216,9712,"26.064202, 87.058626"
T100219,C10096,Savings,BR-017,Online Payment,38723,2024-12-04 03:16:45,Counter,396319,5438,"28.538594, 82.565433"
T100220,C12544,Business,BR-019,Deposit,7492,2024-06-04 08:54:24,Internet,66901,8493,"28.571871, 80.049834"
T100221,C10229,Savings,BR-001,Deposit,55780,2024-03-31 13:49:40,Mobile Banking,244386,8711,"29.299955, 87.289482"
T100222,C10718,Current,BR-016,Online Payment,46817,2023-12-10 04:05:59,Counter,176607,8426,"28.376336, 83.693499"
T100223,C12760,Business,BR-004,Transfer,87192,2024-06-26 03:14:37,Internet,410319,7447,"27.516461, 80.474786"
T100224,C10855,Current,BR-011,Deposit,50959,2025-04-04 10:59:07,Qr,99046,5329,"26.710564, 82.744139"
